bank_id,narration,amount,value_date,utr
BNK-0008,NEFT/RZP26000009/Sundaram Textiles,23122.66,2026-08-26,UTR00000008
BNK-0054,NEFT/RZP26000055/BlueDart Logistics,9253.06,2026-09-12,UTR00000054
BNK-0050,NEFT/RZP26000016/Nimbus Traders,1287.16,2026-08-05,UTR00000050
BNK-0035,NEFT/RZP26000036/Vega Software Solutions,16572.65,2026-08-13,UTR00000035
BNK-0058,NEFT/RZP26000059/Acme Retail Pvt Ltd,77000.93,2026-08-17,UTR00000058
BNK-0033,NEFT/RZP26000034/Acme Retail Pvt Ltd,73494.21,2026-08-31,UTR00000033
BNK-0042,NEFT/RZP26000043/Acme Retail Pvt Ltd,25571.81,2026-08-12,UTR00000042
BNK-0061,NEFT/RZP26000061/PART2/BlueDart Logistics,18689.35,2026-08-01,UTR00000061
BNK-0049,NEFT/RZP26000050/REFUND/Orbit Foods,30144.57,2026-08-09,UTR00000049
BNK-0005,NEFT/RZP26000005/Orbit Foods,30520.37,2026-08-24,UTR00000005
BNK-0018,NEFT/RZP26000019/REFUND/Orbit Foods,35791.99,2026-09-02,UTR00000018
BNK-0022,NEFT/RZP26000023/PART1/BlueDart Logistics,34582.88,2026-09-01,UTR00000022
BNK-0026,NEFT/RZP26000026/Vega Software Solutions,76517.39,2026-08-31,UTR00000026
BNK-0013,NEFT/RZP26000014/Prime Consulting LLP,67430.71,2026-08-10,UTR00000013
BNK-0043,NEFT/RZP26000044/Vega Software Solutions,5330.47,2026-08-21,UTR00000043
BNK-0002,NEFT/RZP26000001/PART2/Kaveri Electronics,25782.44,2026-09-10,UTR00000002
BNK-0057,NEFT/RZP26000058/Orbit Foods,54093.11,2026-09-12,UTR00000057
BNK-0015,NEFT/RZP26000016/Nimbus Traders,57983.95,2026-08-01,UTR00000015
BNK-0056,NEFT/RZP26000057/Kaveri Electronics,51608.12,2026-08-19,UTR00000056
BNK-0051,NEFT/RZP26000052/Nimbus Traders,79360.42,2026-08-09,UTR00000051
BNK-0053,NEFT/RZP26000054/Acme Retail Pvt Ltd,83635.6,2026-09-09,UTR00000053
BNK-0020,NEFT/RZP26000021/Kaveri Electronics,2145.78,2026-09-03,UTR00000020
BNK-0023,NEFT/RZP26000023/PART2/BlueDart Logistics,34871.08,2026-09-01,UTR00000023
